0,0
-1009,0
-1009,399
-636,399
-636,1379
-684,1379
-684,2017
41,2017
41,2792
755,2792
755,2262
-132,2262
-132,1686
-814,1686
-814,746
-1185,746
-1185,125
-1527,125
-1527,-357
-851,-357
-851,-802
-99,-802
-99,-683
-460,-683
-460,-1127
-1229,-1127
-1229,-1981
-2103,-1981
-2103,-1722
-1771,-1722
-1771,-1504
-905,-1504
-905,-1476
-1247,-1476
-1247,-1709
-2205,-1709
-2205,-1060
-1207,-1060
-1207,-798
-1215,-798
-1215,-1661
-1498,-1661
-1498,-2110
-1571,-2110
-1571,-2548
-2087,-2548
-2087,-2602
-1123,-2602
-1123,-3583
-785,-3583
-785,-3251
-1546,-3251
-1546,-2547
-2251,-2547
-2251,-3015
-2366,-3015
-2366,-2181
-1999,-2181
-1999,-2337
-1519,-2337
-1519,-2310
-673,-2310
-673,-2237
173,-2237
173,-2957
984,-2957
984,-3423
577,-3423
577,-2495
1393,-2495
1393,-2445
1483,-2445
1483,-3338
553,-3338
553,-4171
394,-4171
394,-5143
-429,-5143
-429,-4275
260,-4275
260,-4833
-517,-4833
-517,-4846
327,-4846
327,-4854
159,-4854
159,-3898
48,-3898
48,-4360
-619,-4360
-619,-3801
-1458,-3801
-1458,-3298
-552,-3298
-552,-4136
-469,-4136
-469,-4459
-1251,-4459
-1251,-3871
-652,-3871
-652,-4104
-1352,-4104
-1352,-3425
-1403,-3425
-1403,-2646
-1513,-2646
-1513,-2906
-1714,-2906
-1714,-1914
-1757,-1914
-1757,-2471
-2385,-2471
-2385,-3346
-2586,-3346
-2586,-2811
-2832,-2811
-2832,-3787
-3378,-3787
-3378,-3809
-2778,-3809
-2778,-4110
-3320,-4110
-3320,-4151
-2788,-4151
-2788,-3835
-3553,-3835
-3553,-4145
-4219,-4145
-4219,-4514
-3366,-4514
-3366,-3830
-3823,-3830
-3823,-3014
-4490,-3014
-4490,-2256
-3692,-2256
-3692,-1297
-2799,-1297
-2799,-1482
-3641,-1482
-3641,-1314
-3573,-1314
-3573,-1662
-3179,-1662
-3179,-1958
-2213,-1958
-2213,-2469
-2532,-2469
-2532,-1752
-2589,-1752
-2589,-1623
-1746,-1623
-1746,-1184
-2490,-1184
-2490,-2054
-2652,-2054
-2652,-3045
-2575,-3045
-2575,-3610
-2081,-3610
-2081,-3009
-2932,-3009
-2932,-2261
-3028,-2261
-3028,-2137
-3407,-2137
-3407,-2583
-4289,-2583
-4289,-2212
-4156,-2212
-4156,-1392
-5091,-1392
-5091,-2096
-5761,-2096
-5761,-3007
-5943,-3007
-5943,-2869
-5099,-2869
-5099,-1943
-5651,-1943
-5651,-2659
-6500,-2659
-6500,-2035
-5777,-2035
-5777,-1918
-5525,-1918
-5525,-2655
-5741,-2655
-5741,-1859
-5585,-1859
-5585,-1537
-4773,-1537
-4773,-1927
-4823,-1927
-4823,-2420
-5488,-2420
-5488,-2106
-6072,-2106
-6072,-1308
-6083,-1308
-6083,-784
-5912,-784
-5912,53
-4931,53
-4931,85
-5208,85
-5208,735
-6073,735
-6073,763
-5674,763
-5674,1671
-5022,1671
-5022,1128
-5801,1128
-5801,722
-6640,722
-6640,524
-6830,524
-6830,205
-7606,205
-7606,957
-7223,957
-7223,73
-6838,73
-6838,-609
-6109,-609
-6109,-772
-5857,-772
-5857,-239
-6547,-239
-6547,-1006
-6014,-1006
-6014,-1153
-5648,-1153
-5648,-437
-5100,-437
-5100,-266
-4168,-266
-4168,454
-4177,454
-4177,415
-3282,415
-3282,1265
-3558,1265
-3558,277
-4086,277
-4086,828
-4348,828
-4348,348
-4623,348
-4623,-219
-4553,-219
-4553,-818
-5367,-818
-5367,58
-5247,58
-5247,151
-5812,151
-5812,946
-6090,946
-6090,905
-5395,905
-5395,212
-5187,212
-5187,484
-6110,484
-6110,982
-5872,982
-5872,1250
-6116,1250
-6116,1528
-5151,1528
-5151,1923
-4161,1923
-4161,2252
-4639,2252
-4639,2007
-3659,2007
-3659,1534
-4361,1534
-4361,1930
-4003,1930
-4003,2566
-3603,2566
-3603,1647
-3363,1647
-3363,2427
-3614,2427
-3614,1794
-3669,1794
-3669,1071
-4198,1071
-4198,1390
-4497,1390
-4497,1301
-4748,1301
-4748,744
-5453,744
-5453,39
-5844,39
-5844,-19
-5603,-19
